X=0.000 Y=-50.000 Z=-50.000,X=0.000 Y=-0.898 Z=0.441,X=0.476 Y=0.498,
X=-12.941 Y=-48.296 Z=-50.000,X=-0.236 Y=-0.866 Z=0.441,X=0.498 Y=0.498,
X=-10.353 Y=-38.637 Z=-30.000,X=-0.236 Y=-0.866 Z=0.441,X=0.498 Y=0.388,
X=0.000 Y=-40.000 Z=-30.000,X=0.000 Y=-0.898 Z=0.441,X=0.476 Y=0.388,
X=-7.765 Y=-28.978 Z=-10.000,X=-0.236 Y=-0.866 Z=0.441,X=0.498 Y=0.279,
X=12.941 Y=-48.296 Z=-50.000,X=0.228 Y=-0.866 Z=0.441,X=0.454 Y=0.498,
X=0.000 Y=-30.000 Z=-10.000,X=0.000 Y=-0.898 Z=0.441,X=0.476 Y=0.279,
X=-5.176 Y=-19.319 Z=10.000,X=-0.236 Y=-0.866 Z=0.441,X=0.498 Y=0.170,
X=10.353 Y=-38.637 Z=-30.000,X=0.228 Y=-0.866 Z=0.441,X=0.454 Y=0.388,
X=25.000 Y=-43.301 Z=-50.000,X=0.441 Y=-0.780 Z=0.441,X=0.433 Y=0.498,
X=0.000 Y=-20.000 Z=10.000,X=0.000 Y=-0.898 Z=0.441,X=0.476 Y=0.170,
X=-2.588 Y=-9.659 Z=30.000,X=-0.236 Y=-0.866 Z=0.441,X=0.498 Y=0.062,
X=7.765 Y=-28.978 Z=-10.000,X=0.228 Y=-0.866 Z=0.441,X=0.454 Y=0.279,
X=20.000 Y=-34.641 Z=-30.000,X=0.441 Y=-0.780 Z=0.441,X=0.433 Y=0.388,
X=35.355 Y=-35.355 Z=-50.000,X=0.630 Y=-0.638 Z=0.441,X=0.412 Y=0.498,
X=0.000 Y=-10.000 Z=30.000,X=0.000 Y=-0.898 Z=0.441,X=0.476 Y=0.062,
X=-0.026 Y=-0.097 Z=50.000,X=-0.236 Y=-0.866 Z=0.441,X=0.498 Y=0.002,
X=0.000 Y=-0.100 Z=50.000,X=0.000 Y=-0.898 Z=0.441,X=0.476 Y=0.002,
X=28.284 Y=-28.284 Z=-30.000,X=0.630 Y=-0.638 Z=0.441,X=0.412 Y=0.388,
X=43.301 Y=-25.000 Z=-50.000,X=0.772 Y=-0.449 Z=0.441,X=0.391 Y=0.498,
X=2.588 Y=-9.659 Z=30.000,X=0.228 Y=-0.866 Z=0.441,X=0.454 Y=0.062,
X=0.026 Y=-0.097 Z=50.000,X=0.228 Y=-0.866 Z=0.441,X=0.454 Y=0.002,
X=5.176 Y=-19.319 Z=10.000,X=0.228 Y=-0.866 Z=0.441,X=0.454 Y=0.170,
X=5.000 Y=-8.660 Z=30.000,X=0.441 Y=-0.780 Z=0.441,X=0.433 Y=0.062,
X=0.050 Y=-0.087 Z=50.000,X=0.441 Y=-0.780 Z=0.441,X=0.433 Y=0.002,
X=10.000 Y=-17.320 Z=10.000,X=0.441 Y=-0.780 Z=0.441,X=0.433 Y=0.170,
X=15.000 Y=-25.981 Z=-10.000,X=0.441 Y=-0.780 Z=0.441,X=0.433 Y=0.279,
X=21.213 Y=-21.213 Z=-10.000,X=0.630 Y=-0.638 Z=0.441,X=0.412 Y=0.279,
X=14.142 Y=-14.142 Z=10.000,X=0.630 Y=-0.638 Z=0.441,X=0.412 Y=0.170,
X=7.071 Y=-7.071 Z=30.000,X=0.630 Y=-0.638 Z=0.441,X=0.412 Y=0.062,
X=0.071 Y=-0.071 Z=50.000,X=0.630 Y=-0.638 Z=0.441,X=0.412 Y=0.002,
X=34.641 Y=-20.000 Z=-30.000,X=0.772 Y=-0.449 Z=0.441,X=0.391 Y=0.388,
X=48.296 Y=-12.941 Z=-50.000,X=0.858 Y=-0.244 Z=0.449,X=0.371 Y=0.498,
X=25.981 Y=-15.000 Z=-10.000,X=0.772 Y=-0.449 Z=0.441,X=0.391 Y=0.279,
X=38.637 Y=-10.353 Z=-30.000,X=0.858 Y=-0.244 Z=0.449,X=0.371 Y=0.388,
